[1, 'Theme 1: The Central Economic Problem']
[2, 'Theme 1.1: Scarcity as the Central Economic Problem']
[3, 'Theme 1.1.1: Scarcity, Choice and Resource Allocation']
[4, 'Theme 1.1.2: Decision-Making Process of Economic Agents']
[5, 'Theme 1.1: Cases (Scarcity as the Central Economic Problem)']
[6, 'Theme 2: Markets']
[7, 'Theme 2.1: Price Mechanism and its Applications']
[8, 'Theme 2.1.1: Price Mechanism and its Functions']
[9, 'Theme 2.1.2: Demand and Supply Analysis and its Applications']
[10, 'Theme 2.1.3: Government Intervention in Markets']
[11, 'Theme 2.1: Cases (Price Mechanism and its Applications)']
[12, 'Theme 2.2: Microeconomic Objectives and Policies']
[13, 'Theme 2.2.1: Governments� Microeconomic Objectives']
[14, 'Theme 2.2.2: Market Failure and its Causes']
[15, 'Theme 2.2.3: Microeconomic Policies']
[16, 'Theme 2.2: Cases (Microeconomic Objectives and Policies )']
[17, 'Theme 3: The National Economy']
[18, 'Theme 3.1: Introduction to Macroeconomics']
[19, 'Theme 3.1.1: Aggregate Demand and Aggregate Supply']
[20, 'Theme 3.1: Cases (Introduction to Macroeconomics)']
[21, 'Theme 3.2: Macroeconomic Objectives and Policies']
[22, 'Theme 3.2.1: Standard of Living and Macroeconomic Indicators']
[23, 'Theme 3.2.2: Macroeconomic Issues']
[24, 'Theme 3.2.3: Macroeconomic Policies']
[25, 'Theme 3.2: Cases (Macroeconomic Objectives and Policies)']
[26, 'Applied Learning']
