1,3 தொகுதி 1 - கலைகள்
2,கேட்டலும் நோக்கலும்
3,கேட்டல் கருத்தறிதல் - நிழலாட்டக்கலை
4,தகவல்களை முன்னறிவோடு ஒப்பிட்டுப் பார்த்துப் புரிந்துணர்வைப் பல்வேறு வழிகளில் வெளிப்படுத்துவர்.
5,3 தொகுதி 2 - நானும் என் உறவுகளும்
6,கேட்டலும் நோக்கலும்
7,கேட்டல் கருத்தறிதல் - சிங்கப்பூர்க் குழந்தைகள்
8,தகவல்களை முன்னறிவோடு ஒப்பிட்டுப் பார்த்துப் புரிந்துணர்வைப் பல்வேறு வழிகளில் வெளிப்படுத்துவர்.
9,படித்தலும் நோக்கலும்
10,இலக்கியச் சோலை - சிறுகதை (கதைக்கரு)
11,"இலக்கியப் படைப்புகளைக் கேட்டும் பார்த்தும் மரபு, பண்பாடு, விழுமியம் தொடர்பான புரிந்துணர்வை வெளிப்படுத்துவர்."
12,3 தொகுதி 3 - தலைமைத்துவப் பண்புகள்
13,கேட்டலும் நோக்கலும்
14,கேட்டல் கருத்தறிதல் - வெளிப்புறக் கல்வியும் அனுபவமும்
15,தகவல்களை முன்னறிவோடு ஒப்பிட்டுப் பார்த்துப் புரிந்துணர்வைப் பல்வேறு வழிகளில் வெளிப்படுத்துவர்.
16,படித்தலும் நோக்கலும்
17,இலக்கியச் சோலை - சிறுகதை (கதாபாத்திரங்கள்)
18,"இலக்கியப் படைப்புகளைக் கேட்டும் பார்த்தும் மரபு, பண்பாடு, விழுமியம் தொடர்பான புரிந்துணர்வை வெளிப்படுத்துவர்."
19,3 தொகுதி 4 - இயற்கையோடு இயைந்த வாழ்க்கை
20,பேசுதல்
21,மாணவர் கற்றல் தள நடவடிக்கை - நுழைவாயில்
22,எழுதுவதற்கான நோக்கமறிந்து பொருத்தமான கருத்துகளை வெளிப்படுத்துதல்.
23,கேட்டலும் நோக்கலும்
24,கேட்டல் கருத்தறிதல் - இயற்கைக்கு என் பங்களிப்பு
25,தகவல்களை முன்னறிவோடு ஒப்பிட்டுப் பார்த்துப் புரிந்துணர்வைப் பல்வேறு வழிகளில் வெளிப்படுத்துவர்.
26,படித்தலும் நோக்கலும்
27,இலக்கியச் சோலை - சிறுகதை (கதைக்களம்)
28,"இலக்கியப் படைப்புகளைக் கேட்டும் பார்த்தும் மரபு, பண்பாடு, விழுமியம் தொடர்பான புரிந்துணர்வை வெளிப்படுத்துவர்."
29,3 தொகுதி 5 - தமிழர் வாழ்வியல்
30,கேட்டலும் நோக்கலும்
31,கேட்டல் கருத்தறிதல் - உயர்ந்த உள்ளம்
32,தகவல்களை முன்னறிவோடு ஒப்பிட்டுப் பார்த்துப் புரிந்துணர்வை பல்வேறு வழிகளில் வெளிப்படுத்துவர்.
33,படித்தலும் நோக்கலும்
34,இலக்கியச் சோலை - சிறுகதை (தொடக்கம்)
35,"இலக்கியப் படைப்புகளைக் கேட்டும் பார்த்தும் மரபு, பண்பாடு, விழுமியம் தொடர்பான புரிந்துணர்வை வெளிப்படுத்துவர்."
36,3 தொகுதி 6 - மனநலம் பேணல்
37,படித்தலும் நோக்கலும்
38,படித்துக் கருத்துணர்தல்
39,பல்வேறு சூழல்களில் அமைந்த பனுவல்களைப் படித்துப் புரிந்துகொள்ளுதல்
40,இலக்கியச் சோலை - சிறுகதை (கதை வளர்ச்சி)
41,"இலக்கியப் படைப்புகளைக் கேட்டும் பார்த்தும் மரபு, பண்பாடு, விழுமியம் தொடர்பான புரிந்துணர்வை வெளிப்படுத்துவர்."
42,கேட்டலும் நோக்கலும்
43,"நோக்கல் கருத்தறிதல் - நாடு, பிறர் உதவியை நாடு!"
44,பெறப்படும் தகவல்களிலுள்ள நேரடிப்பொருளையும் குறிப்புப்பொருளையும் கேட்டும் பார்த்தும் புரிந்துணர்வை வெளிப்படுத்துவர்.
45,3 தொகுதி 7 - தமிழும் உலகமும்
46,படித்தலும் நோக்கலும்
47,நடப்புச் செய்திகள்
48,தேவைக்கேற்பப் பல்வேறு பனுவல்களைப் பயன்நோக்கிப் படித்துப் பகுத்தாய்வர்.
49,இலக்கியச் சோலை - சிறுகதை (முடிவு)
50,"இலக்கியப் படைப்புகளைக் கேட்டும் பார்த்தும் மரபு, பண்பாடு, விழுமியம் தொடர்பான புரிந்துணர்வை வெளிப்படுத்துவர்."
51,கேட்டலும் நோக்கலும்
52,கேட்டல் கருத்தறிதல் - நானும் தமிழாசிரியராக வேண்டும்
53,தகவல்களை முன்னறிவோடு ஒப்பிட்டுப் பார்த்துப் புரிந்துணர்வை பல்வேறு வழிகளில் வெளிப்படுத்துவர்.
54,கூடுதல் வளங்கள்
55,நடப்புச் செய்திகள்
56,தேவைக்கேற்பப் பல்வேறு பனுவல்களைப் பயன்நோக்கிப் படித்துப் பகுத்தாய்வர்.
57,நானும் ஒரு படைப்பாளி
58,பல்வேறு எழுத்து வகைகளின் அமைப்புமுறைகளைப் புரிந்துகொண்டு படைப்பாக்கத்திறனுடன் தங்கள் கருத்துகளை முன்வைக்க அறிந்திருத்தல்.
