1,"1(a) recall the following base quantities and their SI units: mass (kg), length (m), time (s), current (A), temperature (K), amount of substance (mol)."
2,"1(b) express derived units as products or quotients of the base units and use the named units listed in 'Summary of Key Quantities, Symbols and Units' as appropriate."
3,1(c) use SI base units to check the homogeneity of physical equations.
4,"1(d) show an understanding of and use the conventions for labelling graph axes and table columns as set out in the ASE publication Signs, Symbols and Systematics (The ASE Companion to 16-19 Science, 2000)."
5,"1(e) use the following prefixes and their symbols to indicate decimal sub-multiples or multiples of both base and derived units: pico (p), nano (n), micro (μ), milli (m), centi (c), deci (d), kilo (k), mega (M), giga (G), tera (T)."
6,1(f) make reasonable estimates of physical quantities included within the syllabus.
7,"1(g) distinguish between scalar and vector quantities, and give examples of each."
8,1(h) add and subtract coplanar vectors.
9,1(i) represent a vector as two perpendicular components.
10,1(j) show an understanding of the distinction between systematic errors (including zero error) and random errors.
11,1(k) show an understanding of the distinction between precision and accuracy.
12,"1(l) assess the uncertainty in a derived quantity by addition of actual, fractional, percentage uncertainties or by numerical substitution (a rigorous statistical treatment is not required)."
13,"2(a) show an understanding of and use the term distance, displacement, speed, velocity and acceleration."
14,"2(b) use graphical methods to represent distance, displacement, speed, velocity and acceleration."
15,"2(c) identify and use the physical quantities from the gradients of displacement-time graphs and areas under and gradients of velocity-time graphs, including cases of non-uniform acceleration."
16,"2(d) derive, from the definitions of velocity and acceleration, equations which represent uniformly accelerated motion in a straight line."
17,"2(e) solve problems using equations which represent uniformly accelerated motion in a straight line, including the motion of bodies falling in a uniform gravitational field without air resistance."
18,2(f) describe qualitatively the motion of bodies falling in a uniform gravitational field with air resistance.
19,2(g) describe and explain motion due to a uniform velocity in one direction and a uniform acceleration in a perpendicular direction.
20,3(a) state and apply each of Newton's laws of motion.
21,3(b) show an understanding that mass is the property of a body which resists change in motion (inertia).
22,3(c) describe and use the concept of weight as the force experienced by a mass in a gravitational field.
23,3(d) define and use linear momentum as the product of mass and velocity.
24,3(e) define and use impulse as the product of force and time of impact.
25,3(f) relate resultant force to the rate of change of momentum.
